periodo;residencia_provincia_nombre;Confirmado;Sospechoso;Descartado;total;rat_conf_total;rat_sosp_total;rat_desc_total
202010;Misiones                                          ;187.0;21.0;2715.0;2923.0;0.0639753678;0.0071843996;0.9288402326
202010;Neuquén                                           ;14474.0;345.0;5623.0;20442.0;0.7080520497;0.0168770179;0.2750709324
202010;Río Negro                                         ;11458.0;99.0;6591.0;18148.0;0.6313643377;0.0054551466;0.3631805158
202010;Salta                                             ;6058.0;877.0;7487.0;14422.0;0.4200526973;0.0608098738;0.5191374289
202010;San Juan                                          ;1912.0;439.0;1595.0;3946.0;0.4845413077;0.1112519007;0.4042067917
202010;San Luis                                          ;6291.0;1476.0;10341.0;18108.0;0.347415507;0.0815109344;0.5710735586
202010;Santa Cruz                                        ;4824.0;397.0;4344.0;9565.0;0.504338735;0.0415054888;0.4541557763
202010;Santa Fe                                          ;63240.0;1729.0;31724.0;96693.0;0.6540287301;0.0178813358;0.3280899341
202010;Santiago del Estero                               ;6383.0;331.0;13785.0;20499.0;0.311381043;0.0161471291;0.6724718279
202010;Tierra del Fuego                                  ;7343.0;63.0;3025.0;10431.0;0.7039593519;0.0060396894;0.2900009587
202010;Tucumán                                           ;32968.0;4826.0;16124.0;53918.0;0.6114470121;0.0895062873;0.2990467005
202011;Buenos Aires                                      ;69529.0;8444.0;145766.0;223739.0;0.3107594116;0.0377404029;0.6515001855
202011;CABA                                              ;11140.0;2049.0;67376.0;80565.0;0.1382734438;0.0254328803;0.8362936759
202011;Catamarca                                         ;1666.0;15.0;4492.0;6173.0;0.269884983;0.0024299368;0.7276850802
202011;Chaco                                             ;5478.0;1230.0;10393.0;17101.0;0.3203321443;0.0719256184;0.6077422373
202011;Chubut                                            ;8614.0;202.0;7095.0;15911.0;0.5413864622;0.0126956194;0.4459179184
202011;Córdoba                                           ;28860.0;9944.0;122578.0;161382.0;0.1788303528;0.0616177765;0.7595518707
202011;Corrientes                                        ;4619.0;323.0;2085.0;7027.0;0.6573217589;0.0459655614;0.2967126797
202011;Entre Ríos                                        ;8154.0;269.0;6929.0;15352.0;0.5311360083;0.017522147;0.4513418447
202011;Formosa                                           ;36.0;40.0;842.0;918.0;0.0392156863;0.0435729847;0.917211329
202011;Jujuy                                             ;541.0;102.0;3492.0;4135.0;0.130834341;0.0246674728;0.8444981862
202011;La Pampa                                          ;2434.0;10.0;5118.0;7562.0;0.3218725205;0.0013224015;0.676805078
202011;La Rioja                                          ;1357.0;62.0;3143.0;4562.0;0.2974572556;0.0135905305;0.6889522139
202011;Mendoza                                           ;8711.0;1320.0;18093.0;28124.0;0.3097354573;0.0469350021;0.6433295406
202011;Misiones                                          ;263.0;27.0;2630.0;2920.0;0.0900684932;0.0092465753;0.9006849315
202011;Neuquén                                           ;9899.0;191.0;5890.0;15980.0;0.6194618273;0.0119524406;0.3685857322
202011;Río Negro                                         ;7757.0;70.0;6385.0;14212.0;0.5458063608;0.0049254151;0.449268224
202011;Salta                                             ;2227.0;493.0;5441.0;8161.0;0.2728832251;0.0604092636;0.6667075113
202011;San Juan                                          ;5184.0;1607.0;5635.0;12426.0;0.4171897634;0.1293256076;0.453484629
202011;San Luis                                          ;6856.0;4707.0;16138.0;27701.0;0.2475000902;0.1699216635;0.5825782463
202011;Santa Cruz                                        ;6869.0;326.0;12625.0;19820.0;0.3465691221;0.0164480323;0.6369828456
202011;Santa Fe                                          ;41071.0;1442.0;37939.0;80452.0;0.5105031572;0.0179237309;0.4715731119
202011;Santiago del Estero                               ;5855.0;369.0;12321.0;18545.0;0.3157185225;0.0198975465;0.664383931
202011;Tierra del Fuego                                  ;4528.0;29.0;2609.0;7166.0;0.6318727323;0.0040468881;0.3640803796
202011;Tucumán                                           ;15597.0;2194.0;26172.0;43963.0;0.3547756068;0.0499056024;0.5953187908
202012;Buenos Aires                                      ;68422.0;9008.0;160851.0;238281.0;0.2871483668;0.0378041052;0.6750475279
202012;CABA                                              ;17863.0;2463.0;122317.0;142643.0;0.1252287178;0.0172668831;0.8575043991
202012;Catamarca                                         ;1245.0;12.0;3891.0;5148.0;0.2418414918;0.0023310023;0.7558275058
202012;Chaco                                             ;5273.0;700.0;11378.0;17351.0;0.3039017924;0.0403434961;0.6557547115
202012;Chubut                                            ;9132.0;234.0;7986.0;17352.0;0.5262793914;0.0134854772;0.4602351314
202012;Córdoba                                           ;14023.0;4426.0;195650.0;214099.0;0.065497737;0.0206726795;0.9138295835
202012;Corrientes                                        ;4670.0;358.0;3113.0;8141.0;0.573639602;0.0439749417;0.3823854563
202012;Entre Ríos                                        ;7586.0;219.0;6627.0;14432.0;0.5256374723;0.015174612;0.4591879157
202012;Formosa                                           ;41.0;11.0;774.0;826.0;0.0496368039;0.0133171913;0.9370460048
202012;Jujuy                                             ;217.0;71.0;3007.0;3295.0;0.0658573596;0.0215477997;0.9125948407
202012;La Pampa                                          ;5685.0;20.0;9508.0;15213.0;0.3736935516;0.0013146651;0.6249917833
202012;La Rioja                                          ;623.0;136.0;3042.0;3801.0;0.1639042357;0.0357800579;0.8003157064
202012;Mendoza                                           ;3180.0;844.0;13623.0;17647.0;0.1802006007;0.0478268261;0.7719725732
202012;Misiones                                          ;647.0;35.0;4727.0;5409.0;0.1196154557;0.006470697;0.8739138473
202012;Neuquén                                           ;6862.0;157.0;7180.0;14199.0;0.48327347;0.0110571167;0.5056694133
202012;Río Negro                                         ;7167.0;128.0;7278.0;14573.0;0.4917999039;0.0087833665;0.4994167296
202012;Salta                                             ;1105.0;363.0;5005.0;6473.0;0.1707090993;0.0560790978;0.7732118029
202012;San Juan                                          ;4086.0;1376.0;8136.0;13598.0;0.3004853655;0.1011913517;0.5983232828
202012;San Luis                                          ;1344.0;4391.0;7140.0;12875.0;0.1043883495;0.3410485437;0.5545631068
202012;Santa Cruz                                        ;7830.0;400.0;8866.0;17096.0;0.4580018718;0.0233972859;0.5186008423
202012;Santa Fe                                          ;28273.0;1165.0;33522.0;62960.0;0.4490628971;0.0185038119;0.532433291
202012;Santiago del Estero                               ;1915.0;544.0;11228.0;13687.0;0.1399137868;0.0397457441;0.8203404691
202012;Tierra del Fuego                                  ;2432.0;19.0;2122.0;4573.0;0.5318171878;0.0041548218;0.4640279904
202012;Tucumán                                           ;5048.0;1045.0;18570.0;24663.0;0.2046790739;0.0423711633;0.7529497628
202101;Buenos Aires                                      ;120063.0;12468.0;236889.0;369420.0;0.3250040604;0.033750203;0.6412457366
202101;CABA                                              ;37550.0;3208.0;285158.0;325916.0;0.1152137361;0.009843027;0.8749432369
202101;Catamarca                                         ;3161.0;25.0;6150.0;9336.0;0.3385818338;0.0026778063;0.6587403599
202101;Chaco                                             ;5978.0;678.0;17755.0;24411.0;0.244889599;0.027774364;0.727336037
202101;Chubut                                            ;9858.0;294.0;10498.0;20650.0;0.4773849879;0.0142372881;0.508377724
202101;Córdoba                                           ;17480.0;4513.0;83735.0;105728.0;0.1653299031;0.042685003;0.7919850938
202101;Corrientes                                        ;5177.0;199.0;3511.0;8887.0;0.582536289;0.0223922584;0.3950714527
202101;Entre Ríos                                        ;12464.0;184.0;10879.0;23527.0;0.5297743019;0.0078208016;0.4624048965
202101;Formosa                                           ;834.0;773.0;15080.0;16687.0;0.0499790256;0.0463234853;0.9036974891
202101;Jujuy                                             ;801.0;122.0;4309.0;5232.0;0.1530963303;0.0233180428;0.8235856269
202101;La Pampa                                          ;5340.0;93.0;10080.0;15513.0;0.3442274222;0.005994972;0.6497776059
202101;La Rioja                                          ;867.0;17.0;3943.0;4827.0;0.1796146675;0.0035218562;0.8168634763
202101;Mendoza                                           ;3733.0;843.0;17618.0;22194.0;0.1681986122;0.0379832387;0.793818149
202101;Misiones                                          ;3703.0;39.0;4288.0;8030.0;0.4611457036;0.004856787;0.5339975093
202101;Neuquén                                           ;12733.0;489.0;11333.0;24555.0;0.5185501934;0.0199144777;0.4615353289
202101;Río Negro                                         ;9378.0;83.0;10085.0;19546.0;0.4797912616;0.0042463931;0.5159623452
202101;Salta                                             ;1578.0;134.0;7024.0;8736.0;0.1806318681;0.0153388278;0.804029304
202101;San Juan                                          ;2589.0;648.0;9436.0;12673.0;0.2042925905;0.0511323286;0.7445750809
